l1_height,l1_heat,l1_width,l2_height,l2_heat,l2_width,l3_heat,l3_width,creep_rupture_time,iter,jitter
3.1540113579094022,1727.8541923980642,2.6312900192820274,3.063807208698247,1955.6928823953365,3.2010496958461245,1465.9040389103056,2.7950095557825825,350.001,1,0.001
2.299381342738549,1525.985852335084,2.84278886849121,2.1960242683201368,1354.2313498859403,4.159605185605539,1590.5539223002345,2.797520442596813,350.001,2,0.001
2.8783936905209666,2036.264189327213,2.0361679532206427,2.8951477742072043,1240.3819613872786,3.2268989298839528,1530.5537339048824,3.3802252518723708,380.001,3,0.001
2.526119760422347,2016.47297755706,2.7753994484940985,2.028506431069098,1259.377044518596,2.135713821529471,1004.6456040833292,2.0387443069615534,370.001,4,0.001
3.0249469212008364,1804.1924166278584,2.8589598410038137,2.561574604052657,1793.8081773225745,4.316760719401598,1803.587241421184,3.3409793265910466,300.001,5,0.001
2.739841134109192,1427.9608982177656,2.000304752878173,2.233936453249762,1285.730686600939,2.133996533863513,1528.0380680866372,3.142042589338163,390.001,6,0.001
2.482667947236464,2111.0191557087846,3.805663886498244,2.011995171286511,1490.569230741177,2.2382077196844885,1855.679949519096,2.5857276927789004,130.001,7,0.001
3.1815198680323644,1939.28420832728,4.098448535161952,2.406067885644284,1539.307874631805,2.7522260680158723,1948.8563484461763,3.4189506295409355,160.001,8,0.001
2.070356255541558,1231.3680657153234,4.6521545310433154,3.085992998689989,1320.0045327206117,4.815495985604529,1293.7315531614795,4.989277363944701,540.001,9,0.001
2.7099592417668306,1499.6900332935254,2.0581961374050564,2.5679283612679797,1744.2672220604322,2.6515419134068843,1253.8512684106906,4.898072775289298,430.001,10,0.001
2.387580582202823,2020.3290017582733,4.444432506622336,3.117499551456464,1520.649718104968,3.934151029562029,2193.3713765889547,3.902921661784423,190.001,11,0.001
2.1864296364165,1622.842284276197,2.584801148942999,2.36809710851744,1743.762917089476,3.9677269623218714,1546.2878067205766,4.277072751826399,450.001,12,0.001
3.178297325657112,1088.7871358136697,3.851246569062224,2.3521043077022235,1264.2904217262956,3.585879584276965,1082.997065995651,3.054047646394418,540.001,1,0.005
2.8382191406290618,1867.379018281584,4.030121302640234,2.439669517135373,2079.5249590624417,2.0854178262289507,1609.4807197009418,3.483930506841719,310.001,2,0.005
2.5455159183139555,1413.6476222335782,4.282478738165692,2.70808063992196,2049.327467097408,2.37547174367161,1763.6241139573094,2.039325313567927,130.001,3,0.005
2.0866088402074574,1715.3442390176524,2.312337132667573,3.0233937966765447,1960.265928661721,3.185169675608907,1079.232904131041,3.1489038481871483,220.001,4,0.005
2.4219069537411624,1537.2835189361272,2.6655326139397677,2.157330795498177,1441.514169919819,4.316402397791469,1152.3965936308666,3.37505780413842,480.001,5,0.005
2.136221994551016,1375.2777447726453,2.4132151788716034,2.5359047834090798,1350.002095012179,4.934041043944745,1817.984447103406,4.516320752334439,420.001,6,0.005
2.690922197640173,1459.6562602794313,2.137372016483281,2.112377712126161,1310.6200342788543,2.776691027590039,1952.716828731542,3.785562526809457,170.001,7,0.005
2.6827960839600937,2134.7550208841094,3.075520645674676,2.946189964762062,1859.3488406273327,3.627980070925133,1792.9665076057472,3.520268438378457,220.001,8,0.005
2.059591444959372,2028.3755021088068,4.746838993666594,2.985862110715975,1288.7237788625837,3.017213887923239,1260.2487116518546,3.094432167300041,470.001,9,0.005
3.073252123618551,1198.7714044143104,4.534735437246367,2.5086301825393207,1797.405730011072,3.882641071930935,1006.6798721834966,2.3357139513072847,560.001,10,0.005
3.033521063725395,1000.0,5.0,3.2,1411.2414540481109,5.0,1000.0,5.0,630.001,11,0.005
2.1968971780161195,2000.2720011960769,2.41515623960961,2.433739423433088,1297.1160205486517,2.704688599733918,2119.182191157379,3.748394815996684,130.001,12,0.005
2.417974706879636,1194.6285614139265,2.022937760096786,3.0375852742410423,2005.6977214176463,4.144159932922497,1409.0960945708143,4.299020114669722,560.001,1,0.02
2.618077016363328,1194.135036763984,2.4633018896773704,2.5629389976165617,1170.6791332942355,4.971177718714246,1192.0422868301805,3.1357411188711364,420.001,2,0.02
2.0,1000.0,5.0,3.2,1589.1282471368904,5.0,1000.0,5.0,530.001,3,0.02
2.840330996126147,1854.6918173863469,4.4361054927414845,2.417393084714122,1191.8172881310145,3.757388228982612,1071.5086531656116,4.293421587155439,370.001,4,0.02
2.5834664815955235,1215.030720868842,4.630302504833171,2.800558795471651,1992.412378135935,2.0674135580931123,1397.8797201573889,2.026533966952256,470.001,5,0.02
2.8454010296789,1625.095389634179,4.772146734245142,2.7480485397594987,1000.8213630057296,3.177193746898678,1780.6555785341393,4.544354213208589,300.001,6,0.02
2.126811291061726,1813.4126390505207,2.1700534261500324,2.5126797050671668,1591.9012090473325,2.9710390764502805,1200.6366595471338,3.667557377764197,490.001,7,0.02
2.0176793216921687,2139.752775909722,3.3169615575412363,2.6796251292995783,1635.2948776890548,4.257354627345958,1473.9308191686775,2.1088997449755733,310.001,8,0.02
2.7016464033061776,1732.8262443178462,2.436463816898324,2.070428148507545,1805.1626873675605,3.213033951990884,1591.7746024712972,4.459957127566879,380.001,9,0.02
2.2188487076811203,1351.9104630008374,4.865961483627561,2.5037183545221464,2012.065277989839,4.863902103803524,1035.5180097893656,4.019870068556778,580.001,10,0.02
2.420652659850129,1793.8978955818754,3.5933144219804705,2.53988249985239,1597.7883099672822,3.498563430167046,1410.595502561186,2.974553321580501,390.001,11,0.02
2.827112516721469,1203.9678836065384,4.267357788939503,2.1057686119706487,1808.6856934333944,2.982930013883132,1023.5986282622072,4.6706048177228165,560.001,12,0.02
3.1773771773640007,1756.535847601373,2.59566411170941,3.1417162055136294,1512.0860412553177,2.9092550318352832,1002.5005878492168,2.346764880997822,450.001,1,0.1
2.789141001975915,1822.6771157309424,3.548198279793796,3.0651714207134786,1114.4488436388638,2.076961360951004,1788.7948073399257,4.054800839177092,350.001,2,0.1
2.542184977708107,1290.0333259117274,2.9873644050058186,2.418258930120068,1097.6118897897322,4.485075476790447,1193.9358634545447,3.927692812544477,370.001,3,0.1
2.005934009648081,1703.8341814423666,2.710735526479444,2.143633189878728,2146.320442873579,2.041624573662968,1601.8368823600715,4.296801946755194,380.001,4,0.1
3.085752391966522,1172.6989499200229,3.4501342320476778,2.307046680677716,2007.974281267502,2.724198560244244,1056.5707758493056,2.001897526363651,390.001,5,0.1
2.396751220200884,1000.4903640608062,2.785645783827625,2.321275786481884,1191.7550458278813,3.6983751812035135,1376.1853777325664,2.5944634671336217,390.001,6,0.1
2.651248676138492,1587.488351393293,4.1264751075394495,2.787128530030092,1000.514407656894,4.790863976712446,1792.6761763509753,2.623075828884221,440.001,7,0.1
2.1533753939871896,1303.399015945134,2.478379247485381,2.351895009381386,1105.2990971179386,3.015869522557934,1185.9231976891042,3.253890865764654,510.001,8,0.1
2.0201230924265574,2193.738739506055,3.30884707780406,2.7632802697339587,1566.6032424401965,4.020429790934689,1807.8966966925204,3.544719132835899,240.001,9,0.1
2.139148755899618,1705.5826614547557,3.315842994428702,3.031914393649869,2157.3229075824397,4.803986660976894,1614.309087857162,4.698351073797993,490.001,10,0.1
2.299220316845365,2043.0280806228568,2.586504695521848,2.7184643747999635,1724.6653280072828,2.889831540499112,1264.6065134237126,2.751915624802485,400.001,11,0.1
2.245128547785579,1833.0388982662505,2.149372814435245,3.000741379395732,1206.3001733484562,4.732464385598178,1319.845166149728,3.927223117510788,310.001,12,0.1
